exp_id,sprint,model,dataset,scenario,uint8_activations,acc_final,avg_forgetting,bwt,auroc,ram_peak_bytes,ram_peak_kb,gap2_compliant,inference_latency_ms,n_params,compression_ratio,delta_acc_vs_fp32,reference_exp,notes
exp_081_hdc_cwru_by_severity,12,hdc,cwru,by_severity,,0.8917748917748919,0.019480519480519487,-0.006493506493506496,,7848.0,7.66,True,0.08933949000493158,1024.0,,,,
exp_082_tinyol_cwru_by_severity,12,tinyol,cwru,by_severity,,0.8998140140419398,,0.013059701492537323,,4055.0,3.96,True,0.009086939935514238,397.0,,,,
exp_083_kmeans_cwru_by_severity,12,kmeans,cwru,by_fault_type,,0.30303030303030304,0.06493506493506493,0.2857142857142857,,5432.0,5.3,True,0.3004532499653578,18.0,,,,
exp_084_mahalanobis_cwru_by_severity,12,mahalanobis,cwru,by_fault_type,,0.393939393939394,0.09090909090909094,0.39610389610389607,,1644.0,1.61,True,0.00907825995454914,90.0,,,,
exp_085_dbscan_cwru_by_severity,12,dbscan,cwru,by_fault_type,,0.12121212121212122,0.2922077922077922,-0.012987012987012977,,31474.0,30.74,True,0.2205573699939123,2439.0,,,,
exp_090_kmeans_cwru_by_fault_type_v2,12,kmeans,cwru,by_fault_type,,0.2727272727272727,0.20779220779220778,0.2207792207792208,,5432.0,5.3,True,0.30484471997624496,18.0,,,,
exp_091_kmeans_cwru_by_severity_v2,12,kmeans,cwru,by_severity,,0.45021645021645024,,0.5064935064935066,,5340.0,5.21,True,0.3625812800419226,18.0,,,,
exp_092_dbscan_cwru_by_fault_type_v2,12,dbscan,cwru,by_fault_type,,0.8961038961038961,,,,57682.0,56.33,True,0.23489459998927487,4806.0,,,,
exp_093_dbscan_cwru_by_severity_v2,12,dbscan,cwru,by_severity,,0.8961038961038961,,,,57628.0,56.28,True,0.36546034988532483,4797.0,,,,
exp_100,,kmeans,cwru,by_fault_type,,0.3116883116883117,0.06493506493506493,0.2012987012987013,,5432.0,5.3,True,0.1997092000237899,18.0,,,,
exp_101,,kmeans,cwru,by_severity,,0.45021645021645024,,0.44155844155844154,,5386.0,5.26,True,0.2444860500690993,18.0,,,,
exp_102,,kmeans,cwru,by_condition,,0.8724792775958975,0.059201575366988946,-0.059201575366988946,,5390.0,5.26,True,0.1879639300159397,26.0,,,,
exp_103,,mahalanobis,cwru,by_fault_type,,0.16017316017316016,0.02597402597402597,-0.02597402597402597,,1324.0,1.29,True,0.0035873099113814533,90.0,,,,
exp_104,,mahalanobis,cwru,by_fault_type,,0.1948051948051948,0.01948051948051948,0.019480519480519487,,1324.0,1.29,True,0.003397009895707015,90.0,,,,
exp_105,,mahalanobis,cwru,by_fault_type,,0.8976641969524408,0.010204081632653073,-0.007280105024465966,,1372.0,1.34,True,0.0036069099905944313,182.0,,,,
exp_106,,ewc,cwru,by_fault_type,,1.0,,,,1171.0,1.14,True,0.020418340018295567,865.0,,,,
exp_107,,ewc,cwru,by_severity,,0.9523809523809522,,0.006493506493506496,,1171.0,1.14,True,0.019967389980592998,865.0,,,,
exp_108,,ewc,pronostia,by_condition,,0.9819339347521753,,0.004863348848311244,,1171.0,1.14,True,0.020211319997542887,993.0,,,,
